Anmeldedatum	JahrAkademisch	Art	Grad	Sprache	Titel	Abstract
28.07.16	2016	extern	Master	DE	Untersuchung und Konzeption des Einsatzes von Cyber-Physischen Systemen am Montageband	Im Fokus dieser Arbeit steht der Einsatz von Cyber-Physischen Systemen in der Montage. Cyber-Physische Systeme gewinnen in den aktuellen Entwicklungen der Industrie 4.0 eine immer wichtigere Rolle. Ihr Einsatz soll dazu dienen, virtuelle und reale Welt zu vernetzen, um speziell in der Montage manuelle und starre Prozesse zu flexibilisieren und automatisieren. In Kooperation mit der Fraunhofer-Arbeitsgruppe für Supply-Chain Services SCS wird erfasst inwieweit deutsche Unternehmen Cyber-Physische Systeme bereits in ihren Produktionen einsetzen. Weiterhin sollen Herausforderungen und Chancen untersucht werden, die sich dabei ergeben sowie Anforderungen der Unternehmen an Cyber-Physische Systeme im Allgemeinen sowie an ein ideales Cyber-Physisches System im Speziellen. Die Informationsgewinnung erfolgt zunächst über die Durchführung einer Literaturrecherche, um die Sicht der gegenwärtigen Theorie zu erfassen. Als Gegenstück zur Theorie wird die Praxis anhand von Expertenbefragungen untersucht und die Ergebnisse der Gespräche nach der Methodik nach Mayring analysiert und ausgewertet (vgl. [Ma16, S.114?121]). Diese Auswertung dient dazu, Theorie und Praxis abzugleichen und auf Basis dessen ein ideales Cyber-Physisches System zu konzipieren. Das Ergebnis dieser Arbeit soll den aktuellen Status-Quo des Einsatzes von Cyber-Physischen Systemen in der Montage wiederspiegeln.
01.08.16	2016	intern	Master	DE	Objekterkennung mit Convolutional Neural Networks auf Basis von TensorFlow und iOS.	Im Rahmen dieser Masterthesis wird die Klassifikation von Objekten, explizit von Verkehrszeichen, mithilfe von Convolutional Neural Networks behandelt. In diesem Zusammenhang wird das Convolutional Neural Network unter Anwendung der Software-Bibliothek TensorFlow entwickelt. Das zur Verkehrszeichenerkennung entwickelte Netzwerk wird in ein bestehendes Geschwindigkeitsassistenzsystem, welches auf einem Smartphone betrieben wird, integriert. Die einführenden Kapitel geben einen Überblick über den aktuellen Stand der Technik und erläutern den Aufbau und die Funktionsweise von Convolutional Neural Networks. Um ein besseres Verständnis für Convolutional Neural Networks zu schaffen, werden zunächst die theoretischen Grundlagen der künstlichen neuronalen Netzwerke genannt. Anschließend werden die verwendeten Hardware- und Software-Komponenten vorgestellt und ein Bezug zu deren Relevanz geschaffen. Die Implementierung des Modells mithilfe von TensorFlow, sowie die prototypische Erweiterung der bestehenden Anwendung wird daraufhin dargelegt. In den nachfolgenden Kapiteln wird auf die Evaluierung des Convolutional Neural Networks, sowie auf bestehende Optimierungs- und Erweiterungsmöglichkeiten eingegangen. Abschließend wird ein Resümee über das entstandene Netzwerk und dessen Klassifikationsrate, sowohl unter TensorFlow als auch unter iOS, gegeben.
04.10.16	2017	extern	Bachelor	DE	Analyse von Technologien zur Desktopbereitstellung - Entwicklung eines zukunftsorientierten Konzepts 	Viele Unternehmen verfügen über etablierte Desktopbereitstellungs-Lösungen. Doch besitzen die klassischen Konzepte die Fähigkeit auch Anforderungen an einen Future Workplace zu erfüllen? Die prognostizierte, zunehmende Verbreitung von mobilen Endgeräten im Unternehmensumfeld ist ein Beispiel für einen aktuellen Treiber der Veränderung des Arbeitsplatzes. Diese Veränderung führt zwangsläufig zu einer Neuausrichtung der Desktop-Verwaltung. Deswegen werden neue gnerische Konzepte benötigt, die es Mitarbeitern ermöglichen endgeräte-, zeit- und ortsunabhängig auf Unternehmensressourcen zuzugreifen. Die Bachelorarbeit liefert einen Überblick über die erwarteten Veränderungen und bietet Lösungsvorschläge zur Auswahl geeigneter Desktopbereitstellungs-Varianten. Nach wissenschaftlicher Ausarbeitung des Themas wird ein Future Workplace konzeptionell entwickelt.
05.10.16	2017	extern	Master	DE	Konzeption und Implementierung einer mobilen Anwendung zur optischen Erfassung von Zählerinformationen	Ziel der Masterarbeit ist es, eine mobile Anwendung zur optischen Erfassung von Zählerinformationen zu konzeptionieren und Implementieren. Dafür sollen Zählerinformationen, wie z. B. Identifikationsnummer und Zählerstand, optisch erfasst und verarbeitet werden. Des Weiteren soll es möglich sein, der Erfassungssoftware IZAR@MOBILE ein Foto vom Einbauort des entsprechenden Zählers zuzuordnen. Nachdem alle relevanten Daten aufgenommen sind, werden sie an die zentrale Erfassungs- und Auswertungssoftware IZAR@NET verschlüsselt übertragen. Dabei ist IZAR@MOBILE eine Software, die eine einfache und wirtschaftliche Auslesung von Funkzählern über mobile Endgeräte ermöglicht. Für die Verwaltung der einzelnen Zähler wird die IZAR@NET verwendet. Zuletzt soll eine Marktanalyse für verschiedene Länder über die aktuelle Verteilung von "intelligenten Messsystemen" und "konventionellen Zählern" durchgeführt werden. Zusätzlich zu der Marktanalyse soll eine Analyse über die ökonomische Verwendung der oben genannten Features durchgeführt werden.
10.10.16	2017	extern	Bachelor	DE	Konzeptionierung und Realisierung einer Anwendung zur Konfiguration der DATEV DMS-Arbeitsplatzintegration	Das Ziel dieser Bachelorarbeit ist die Konzeption und Entwicklung einer datenbankgestützten Anwendung, welche Änderungen an der Konfiguration der DMS-Arbeitsplatzintegration jederzeit und problemlos ermöglicht. Um dieses Ziel zu erfüllen, erfolgte im ersten Schritt die Ist-Analyse. Diese schloss die Beschreibung der Ausgangssituation mit ein. Des Weiteren wurde das Thema DMS-Arbeitsplatzintegration genaue beleuchtet sowie das bestehende Datenbankmodell vorgestellt und analysiert. Basierend auf den gewonnenen Erkenntnissen wurden anwendungsspezifische Anforderungen erarbeitet und definiert. Auf dieser Grundlage konnte entsprechend den DATEV-Richtlinien eine Anwendung konzipiert werden. Als Nächstes wurde die Anwendung gemäß der gegebenen Technologieleitlinie realisiert. Die während dieser Abschlussarbeit entwickelte Anwendung wird zukünftig in der Customizing Abteilung der DATEV eingesetzt und hat sich somit in der Praxis als erfolgreich erwiesen. Auf diese Weise konnte die Erfüllung der gestellten Anforderungen sowie die Richtigkeit und Tragfähigkeit des Konzepts bestätigt werden.
14.10.16	2017	intern	Bachelor	DE	Entwicklung einer Bahnregulierung für einen autonomen, mobilen Roboter	Die Bachelorarbeit befasst sich mit der Entwicklung einer Bahnregulierung für einen autonomen, mobilen und radgetriebenen Roboter, den Carbot. Der Carbot-Roboter und dessen Simulationsumgebung sind Entwicklungen von Prof. Dr. Jörg Roth an der Technischen Hochschule Nürnberg. Der Roboter verfügt über Funktionen zur Selbstlokalisierung, Erkennung von Hindernissen und Kollisionen auf Basis von Sensordaten sowie zur Planung von Routen und Bahnen. Die kontrollierte Bewegung des Roboters wird über ein Antriebs- und Bewegungsmodell realisiert. Das derzeitige Problem ist der Verlust von Traktion bei Fortbewegung des Roboters auf nicht idealem Untergrund und die damit verbundene Abweichung beim Abfahren geplanter Fahrbahnen. In dieser Arbeit wird ein Verfahren vorgestellt, das diese Diskrepanz erkennt, auswertet und den Roboter sanft auf die geplante Bahn zurückführt. Die Realisierung eines Prototypen erfolgte in der Carbot-Umgebung.
15.10.16	2017	extern	Master	DE	RFID-Landmarken basierte Selbstlokalisierung und gleichzeitige Warenortung	In this thesis the feasibility of replacing the positioning, done by a real-time locating system, in an existing RTLS based RFID goods-tracking system, with SLAM is studied. The system consists of a forklift whose position can be obtained via a RTLS. Attached to the forklift is a RFID-reader and a linear-antenna-array, which can determine the angle between RFID-tagged goods and the forklift. By combining both systems the goods in warehouse can be localized. The RTLS can be replaced by using the RFID-tags as landmarks for a SLAM algorithm. The major challenges are unmonitored changes by the staff who often uses a pallet jack for rearranging wares which cause the attached landmarks to change their position and cause an erroneous position estimation of the forklift. The SLAM algorithms FastSLAM and FastSLAM2.0 weres used.Techniques for detecting non-static landmarks were studied and the SLAM Algorithms were extended with a method for detecting changes in the landmark environment. Despite worsening the forklift position accuracy most landmark position changes could be successfully detected. Additionally an integration of the carrier phase shift, that is detected by RFIDantennas into the SLAM-Filter was investigated. Despite yielding comparable results with existing techniques during a static evaluation it failed to improve the localization accuracy when integrated into the SLAM-Filter.
17.10.16	2017	intern	Bachelor	DE	Entwicklung einer vektorbasierten Navigationskomponente für einen autonomen, mobilen Roboter	An der Technischen Hochschule Nürnberg existiert ein autonomer, mobiler Roboter. Für diesen soll eine vektorbasierte Navigationskomponente entwickelt werden. Es wurde sich hierbei für einen Voronoi-Diagramm Ansatz entschieden. Die Kanten eines solchen Voronoi-Diagramms mussten durch ein entwickeltes Verfahren für navigatorische Zwecke nutzbar gemacht werden. Diese Kanten eines modifizierten Voronoi-Diagramms galt es in eine Graph-Repräsentation umzuwandeln. Anschließend musste noch mittels einer vorzunehmenden A *-Algorithmus Implementation der kürzeste Weg von einem Start zu einem Zielknoten gefunden werden.
17.10.16	2017	extern	Bachelor	DE	Entwicklung einer webbasierten Simulationsumgebung für Hardware-Ereignisse im Umfeld von Strahlungskontaminations-Messsystemen	Die Bachelorarbeit befasst sich mit der Entwicklung einer Simulationsumgebung, die es ermöglicht, über eine webbasierte Oberfläche digitale Signale zu erzeugen und zu verarbeiten. Dabei ist es möglich, Abhängigkeiten zwischen eingehenden und ausgehenden Signalen zu berücksichtigen. Für die Entwicklung der Simulationsumgebung wurden Komponenten evaluiert, um alle Anforderungen umsetzen zu können. Hierbei wurden potenzielle Hardwarekomponenten betrachtet, anschließend Python Web Frameworks verglichen, eine geeignete Datenbank gewählt und eine passende Library zur Ansteuerung der Hardware-Schnittstelle evaluiert. Die Evaluierung ergab, dass der Raspberry Pi 3 Model B als Hardwarekomponente, das Python Web Framework Django, die Datenbank SQLite und die RPi.GPIO Library zur Ansteuerung der GPIO-Schnittstellen des Raspberry Pi am besten geeignet sind. Um den digitalen Datenaustausch zwischen dem Raspberry Pi 3 Model B und der Mess- und Steuerungseinheit zu ermöglichen, wurde ein Konzept entworfen, das Inkompatibilitäten zwischen den Schnittstellen ausgleicht.
17.10.16	2017	extern	Master	DE	Umsetzung eines TTCN-3 Interpreters für den Einsatz im Automobilsektor	Im Bereich der Automatisierung von Softwaretests, unter Verwendung von Hardware in the Loop-Testsystemen, kommt die Testing and Test Control Notation Version 3 (TTCN-3) als standardisierte Testsprache zum Einsatz. Diese Sprache stammt ursprünglich aus dem Telekommunikationsbereich. Im Rahmen des ProTecT-Forschungsprojektes (Förderkennzeichen: KF21397041150) wurde der Einsatz dieser Testsprache im Automobil-Bereich geprüft. Dabei wurde im Vorfeld dieser Arbeit ein TTCN-3-Interpreter in Python implementiert. Im Rahmen dieser Abschlussarbeit wurde die Debug-Funktionalität für den TTCN-3-Interpreter für eine Erweiterung der Testmöglichkeiten ergänzt. Weiterhin war die Performance des TTCN-3-Interpreters zu untersuchen und gegebenenfalls zu optimieren. Ziel war die Vervollständigung des TTCN-3-Interpreters für den Einsatz in Software-Testprojekten. Die im Rahmen des ProTecT-Forschungsprojektes eingeführte TTCN-3-Testsprache im Automobilsektor über den Ansatz eines Interpreters wurde durch diese Arbeit entscheidend vorangetrieben. Durch die Umsetzung des Debuggers in dieser Arbeit können Fehler früh im Entwicklungsprozess erkannt und behoben werden.
